money_made_inv,loan_amnt,out_prncp_inv,term,int_rate
-6.3717076146342135,8300,0.0,36,12.59
1.3476531572618298,4800,0.0,36,7.12
6.612402594968754,12800,0.0,36,7.21
-3.977311179236296,24000,0.0,60,17.27
2.25810383272574,10000,0.0,36,15.99
-4.953559996710394,4500,0.0,36,19.99
-614.5900000000001,4900,1552.69,36,12.74
4.429696573848999,30000,0.0,36,8.18
4.285794659900212,9425,0.0,36,14.65
-28521.82,40000,31030.65,36,9.43
6.31081369150754,24000,0.0,60,11.99
-1.6212520630237175,24000,0.0,60,13.49
-5.45039149930401,24000,0.0,60,13.33
-3.0211878785586093,18625,0.0,36,17.99
-4.953737451184328,16925,0.0,36,17.1
9.330763095310507,30000,0.0,36,10.75
6.160816326757411,9175,0.0,36,13.18
-2.633060793841169,10625,0.0,36,14.49
-2.4994449164937627,5000,0.0,36,11.44
-3442.4700000000003,9800,4733.42,36,10.42
3.3411093219474512,17000,0.0,36,7.49
-4.5906253305582805,15500,0.0,36,9.17
-0.626475396617911,16800,0.0,60,10.99
-2.744115251109421,16000,0.0,60,29.99
-1857.19,3500,2446.65,36,18.06
7.704051554136199,8825,0.0,36,22.74
-2998.75,7000,3444.47,36,5.32
-2355.620000000001,16000,5613.95,36,13.99
-1.2998920884218097,15000,0.0,36,9.99
-2931.4400000000005,11825,3815.28,36,5.32
6.442629734056001,30000,0.0,36,10.99
1.631025830238009,8000,0.0,36,13.49
6.307883297097726,12000,0.0,60,19.99
-15.49696154738086,1000,0.0,36,13.18
3573.3899999999994,16000,578.09,36,15.31
-6298.62,12500,7281.92,36,7.35
-0.9707843932193976,16000,0.0,36,6.24
4.46829441095736,15000,0.0,60,14.46
5.837150135638342,3500,0.0,36,14.33
-2246.18,5000,2831.76,36,10.42
-9.302677973506292,2500,0.0,36,15.05
8.11333858792914,6000,0.0,36,12.49
2.865965924443239,10200,0.0,36,11.99
7.841644861597759,7000,0.0,36,12.99
-1211.0600000000004,7500,2600.74,36,12.74
0.90295919286236,6425,0.0,36,11.39
-3.882000854063967,12000,0.0,36,9.99
-10778.07,15000,11582.59,36,8.08
4.111130159749597,5000,0.0,36,11.22
-4683.95,10000,5573.66,36,7.97
648.2399999999998,4500,301.12,36,12.99
-7580.96,12000,8265.64,36,6.72
7.665985976788612,14675,0.0,60,24.5
9.078788742744578,6400,0.0,36,13.99
-5199.92,8325,5766.92,36,7.96
-1.7866725646066397,12000,0.0,36,10.75
2.3814563249880267,12000,0.0,36,14.47
-396.5699999999997,10000,1869.36,36,9.49
-8.488577473001198,5000,0.0,36,17.1
-0.3267289525329687,25000,0.0,60,18.84
-0.3198166616168022,3500,0.0,36,16.99
-4170.86,5000,4388.78,36,9.58
-1.4974498068634057,12500,0.0,36,10.42
-2175.48,9000,3572.19,36,11.44
-5.494575251423949,4000,0.0,36,9.75
-0.9893912514151472,10400,0.0,36,7.49
2015.3099999999995,10000,21.34,60,10.49
-3.782049639671261,16000,0.0,36,5.31
-2.4284854736217163,17500,0.0,36,12.88
-7047.53,12000,9504.31,60,16.02
-13595.27,25000,16189.97,36,10.42
-7.554218905722512,11175,0.0,36,24.99
6.924514785966593,7000,0.0,36,15.31
1.0233637826370463,16000,0.0,36,5.32
-2.338259882209033,16000,0.0,60,15.61
-3146.4300000000003,12000,5214.74,36,12.74
-15436.0,25000,20040.01,60,15.05
-1898.24,5000,2358.27,36,7.35
-9.080042539847106,18000,0.0,60,17.1
-1.5691916135705593,8400,0.0,36,18.25
0.3638893745136679,8000,0.0,36,12.74
6.452349578241914,15000,0.0,36,11.49
-1092.54,2000,1468.95,36,21.45
0.8353804733631659,22000,0.0,60,16.99
6.509487376389135,16000,0.0,60,13.44
3.7754588889135,7000,0.0,36,13.99
-2.3484253925579845,8975,0.0,36,18.99
-4.013738082856061,6000,0.0,36,6.99
